Total,,,,"3 746,7",275 574,"73,55",Calidaddelagua,Clima estandar,Infraestructura escalar,Cobertura Sanitaria,Empatia con extranjeros,Ornitologia sustentable,Amenidades adecuadas a la generacion Z,Agricultura Local,Nivel de Poliglotismo en Jovenes,Conexión satelital,Population    
Maupiti,98728,Leeward,Vaiea,"25,5",1 286,"50,4",1.98,6.54,1.33,4.55,6.88,6.92,4.51,6.8,2.34,5.44,1286
Napuka,98730,Tuamotu-Gambier,Tepukamaruia,"11,2",284,"25,4",1.1,5.97,3.26,2.69,6.09,1.81,6.17,4.77,1,1.42,284
Nuku-Hiva,98731,Marquesas,Taiohae,"390,0",2 951,"7,6",4.54,1.16,5.19,5.53,5.1,1.92,2.37,4.26,4.54,5.51,2951
Nukutavake,98732,Tuamotu-Gambier,Tavananui,"17,3",295,"17,1",3.17,3.62,3.98,2.95,4.67,6.83,2.57,1.69,6.04,5.03,295
Papara,98734,Windward,Papao,"92,8",11 680,"125,9",5.38,3.5,1.36,6.28,1.79,5.91,4.98,3.87,3.54,2.83,11680
Papeete,98735,Windward,Papeete,"17,4",26 926,"1 547,5",4,4.46,6.86,1.73,3.38,2.19,3.61,1.8,3.9,5.52,26926
Pirae,98736,Windward,Pirae,"35,5",14 209,"400,3",4.59,6.51,5.33,3.98,5.22,1.67,3.17,3.82,4.68,5.24,14209
Puka-Puka,98737,Tuamotu-Gambier,Teonemahina,"12,8",163,"12,7",1.52,1.28,3.3,3.48,1.61,4.62,5.86,4.48,4.74,3.58,163
Punaauia,98738,Windward,Punaauia,"76,2",28 103,"368,8",6.37,6.98,4.73,2.68,6.09,4.74,4.19,4.11,2.47,3.71,28103
Raivavae,98739,Austral,Mahanatoa,"17,5",903,"51,5",4.07,6.81,2.49,6.68,6.64,2.56,4.55,4.96,6.75,2,903
Rangiroa,98740,Tuamotu-Gambier,Avatoru,"148,8",3 657,"24,6",1.3,6.55,3.7,4.76,5.68,6.16,6.81,4.13,5.55,3.35,3657
Rapa Iti,98741,Austral,Ahurei,"38,8",507,"13,1",3.62,5.07,5.64,2.73,6.12,5.47,6.34,4.89,2.41,3.54,507
Reao,98742,Tuamotu-Gambier,Tapuarava,"31,4",587,"18,7",3.88,5.37,5.84,5.9,1.69,5.94,6.56,3.11,6.77,5.33,587
Rimatara,98743,Austral,Amaru,"10,3",872,"84,7",5.54,6.87,3.22,3.83,5.11,5.07,3.09,5.55,3.93,1.13,872
Rurutu,98744,Austral,Moerai,"33,3",2 466,"74,0",5.53,2.08,4.16,3,5.33,6.41,3.48,4.84,1.98,3.05,2466
Tahaa,98745,Leeward,Patio,"92,2",5 234,"56,8",2.15,4.57,6.64,1.71,3.83,4.11,4.68,2.38,3.69,2.7,5234
Tahuata,98746,Marquesas,Vaitahu,"69,9",653,"9,3",1.3,2.69,3.43,2.01,6.39,2.52,6.25,6.85,1.94,6.18,653
Taiarapu-Est,98747,Windward,Taravao,"219,1",12 701,"58,0",2.58,1.47,1.59,2.51,6.72,3.73,4.1,2.36,2.12,4.5,12701
Taiarapu-Ouest,98748,Windward,Vairao,"104,7",8 078,"77,2",5.3,4.58,5.93,4.03,6.09,4.78,1.02,3.25,2.54,2.73,8078
Takaroa,98749,Tuamotu-Gambier,Teavaroa,"36,9",1 175,"31,9",2.95,3.85,2.36,4.03,4.57,3.93,6.84,1.61,3.46,6.72,1175
Taputapuatea,98750,Leeward,Avera,"87,1",4 448,"51,1",1.05,6.54,5.8,2.16,5.67,2.95,3.37,5.92,3.63,5.07,4448
Tatakoto,98751,Tuamotu-Gambier,Tumukuru,"11,6",259,"22,3",2.89,3.98,3.15,6.18,6.5,3.62,2.86,6.23,4.37,4.63,259
Teva I Uta,98752,Windward,Mataiea,"120,5",10 254,"85,1",5.75,3.07,5.17,4.31,6.65,4.28,3.45,6.24,3.75,4.7,10254
Tubuai,98753,Austral,Mataura,"46,0",2 217,"48,2",2.57,1.7,4.38,6.47,2.78,5.1,5.27,1.43,2.2,5.63,2217
Tumaraa,98754,Leeward,Tevaitoa,"70,2",3 721,"53,0",4.3,3.98,6.75,2.15,3.97,1.75,6.27,4.97,1.74,2.49,3271
Tureia,98755,Tuamotu-Gambier,Fakamaru,"38,2",336,"8,8",5.03,5.17,4.04,3.15,2.91,6.46,4.09,5.55,3.73,1.57,336
Ua-Huka,98756,Marquesas,Vaipaee,"86,4",674,"7,8",2.6,1.66,2.81,3.4,2.03,1.62,2.57,4.54,1.48,3.75,674
Ua-Pou,98757,Marquesas,Hakahau,"106,5",2 213,"20,8",2.45,1.37,3.91,4.44,5.37,2.64,4.83,2.9,1.72,5.78,2213
Uturoa,98758,Leeward,Uturoa,"15,8",3 736,"236,0",4.87,2.01,4.17,4.36,4.9,5.09,6.55,5.03,4.81,6.43,3736
